modality,signal,embedding_type,embedding_size,metric,seed
visual,has_information,contrastive,16,1.0,2
visual,has_information,contrastive,16,1.0,2
visual,has_information,contrastive,16,0.0,2
visual,idle,autoencoder,16,0.6666666865348816,2
visual,idle,autoencoder,16,1.0,2
visual,idle,autoencoder,16,1.0,2
visual,idle,autoencoder,16,1.0,2
visual,idle,autoencoder,16,1.0,2
visual,idle,autoencoder,16,0.5,2
visual,idle,autoencoder,16,1.0,2
visual,idle,autoencoder,16,1.0,2
visual,idle,autoencoder,16,1.0,2
visual,searching,autoencoder,16,1.0,2
visual,searching,autoencoder,16,1.0,2
visual,searching,autoencoder,16,1.0,2
visual,searching,autoencoder,16,0.6666666865348816,2
visual,searching,autoencoder,16,1.0,2
visual,searching,autoencoder,16,0.75,2
visual,searching,autoencoder,16,1.0,2
visual,searching,autoencoder,16,0.6000000238418579,2
visual,searching,autoencoder,16,1.0,2
visual,searching,autoencoder,16,0.75,2
visual,searching,autoencoder,16,0.5714285969734192,2
visual,has_item,autoencoder,16,0.5,2
visual,has_item,autoencoder,16,1.0,2
visual,has_item,autoencoder,16,1.0,2
visual,has_item,autoencoder,16,0.8333333134651184,2
visual,has_item,autoencoder,16,1.0,2
visual,has_item,autoencoder,16,0.0,2
visual,has_item,autoencoder,16,1.0,2
visual,has_item,autoencoder,16,0.8999999761581421,2
visual,has_item,autoencoder,16,1.0,2
visual,has_item,autoencoder,16,0.0,2
visual,has_item,autoencoder,16,1.0,2
visual,has_information,autoencoder,16,1.0,2
visual,has_information,autoencoder,16,1.0,2
visual,has_information,autoencoder,16,0.75,2
visual,has_information,autoencoder,16,0.5,2
visual,has_information,autoencoder,16,1.0,2
visual,has_information,autoencoder,16,0.0,2
visual,has_information,autoencoder,16,1.0,2
visual,has_information,autoencoder,16,0.875,2
visual,has_information,autoencoder,16,1.0,2
visual,has_information,autoencoder,16,1.0,2
visual,has_information,autoencoder,16,0.0,2
visual,idle,random,16,0.6666666865348816,2
visual,idle,random,16,0.875,2
visual,idle,random,16,0.0,2
visual,idle,random,16,1.0,2
visual,idle,random,16,1.0,2
visual,idle,random,16,1.0,2
visual,idle,random,16,1.0,2
visual,idle,random,16,1.0,2
visual,idle,random,16,1.0,2
visual,searching,random,16,1.0,2
visual,searching,random,16,1.0,2
visual,searching,random,16,1.0,2
visual,searching,random,16,0.3333333432674408,2
visual,searching,random,16,1.0,2
visual,searching,random,16,0.75,2
visual,searching,random,16,1.0,2
visual,searching,random,16,0.6000000238418579,2
visual,searching,random,16,1.0,2
visual,searching,random,16,0.0,2
visual,searching,random,16,0.2142857164144516,2
visual,has_item,random,16,0.5,2
visual,has_item,random,16,0.0,2
visual,has_item,random,16,1.0,2
visual,has_item,random,16,0.8333333134651184,2
visual,has_item,random,16,1.0,2
visual,has_item,random,16,0.0,2
visual,has_item,random,16,1.0,2
visual,has_item,random,16,0.8999999761581421,2
visual,has_item,random,16,0.6666666865348816,2
visual,has_item,random,16,0.5,2
visual,has_item,random,16,1.0,2
visual,has_information,random,16,0.6666666865348816,2
visual,has_information,random,16,0.5,2
