modality,signal,embedding_type,embedding_size,metric
kinesthetic,has_information,random,4,0.0
kinesthetic,has_information,random,4,1.0
kinesthetic,has_information,random,4,1.0
kinesthetic,has_information,random,4,1.0
kinesthetic,has_information,random,4,1.0
visual,idle,contrastive+autoencoder,8,1.0
visual,idle,contrastive+autoencoder,8,1.0
visual,idle,contrastive+autoencoder,8,1.0
visual,idle,contrastive+autoencoder,8,1.0
visual,idle,contrastive+autoencoder,8,1.0
visual,idle,contrastive+autoencoder,8,1.0
visual,idle,contrastive+autoencoder,8,1.0
visual,idle,contrastive+autoencoder,8,1.0
visual,idle,contrastive+autoencoder,8,1.0
visual,searching,contrastive+autoencoder,8,1.0
visual,searching,contrastive+autoencoder,8,1.0
visual,searching,contrastive+autoencoder,8,1.0
visual,searching,contrastive+autoencoder,8,0.3333333432674408
visual,searching,contrastive+autoencoder,8,1.0
visual,searching,contrastive+autoencoder,8,1.0
visual,searching,contrastive+autoencoder,8,1.0
visual,searching,contrastive+autoencoder,8,0.2000000029802322
visual,searching,contrastive+autoencoder,8,1.0
visual,searching,contrastive+autoencoder,8,0.25
visual,searching,contrastive+autoencoder,8,0.6428571343421936
visual,has_item,contrastive+autoencoder,8,0.5
visual,has_item,contrastive+autoencoder,8,1.0
visual,has_item,contrastive+autoencoder,8,1.0
visual,has_item,contrastive+autoencoder,8,0.8333333134651184
visual,has_item,contrastive+autoencoder,8,1.0
visual,has_item,contrastive+autoencoder,8,0.0
visual,has_item,contrastive+autoencoder,8,1.0
visual,has_item,contrastive+autoencoder,8,0.8999999761581421
visual,has_item,contrastive+autoencoder,8,1.0
visual,has_item,contrastive+autoencoder,8,0.0
visual,has_item,contrastive+autoencoder,8,1.0
visual,has_information,contrastive+autoencoder,8,1.0
visual,has_information,contrastive+autoencoder,8,1.0
visual,has_information,contrastive+autoencoder,8,0.75
visual,has_information,contrastive+autoencoder,8,0.5
visual,has_information,contrastive+autoencoder,8,1.0
visual,has_information,contrastive+autoencoder,8,0.0
visual,has_information,contrastive+autoencoder,8,1.0
visual,has_information,contrastive+autoencoder,8,0.875
visual,has_information,contrastive+autoencoder,8,1.0
visual,has_information,contrastive+autoencoder,8,1.0
visual,has_information,contrastive+autoencoder,8,0.0
visual,idle,contrastive,8,1.0
visual,idle,contrastive,8,0.875
visual,idle,contrastive,8,1.0
visual,idle,contrastive,8,1.0
visual,idle,contrastive,8,1.0
visual,idle,contrastive,8,1.0
visual,idle,contrastive,8,1.0
visual,idle,contrastive,8,1.0
visual,idle,contrastive,8,1.0
visual,searching,contrastive,8,1.0
visual,searching,contrastive,8,1.0
visual,searching,contrastive,8,1.0
visual,searching,contrastive,8,0.3333333432674408
visual,searching,contrastive,8,1.0
visual,searching,contrastive,8,1.0
visual,searching,contrastive,8,1.0
visual,searching,contrastive,8,0.6000000238418579
visual,searching,contrastive,8,1.0
visual,searching,contrastive,8,0.0
visual,searching,contrastive,8,0.5
visual,has_item,contrastive,8,0.5
visual,has_item,contrastive,8,1.0
visual,has_item,contrastive,8,1.0
visual,has_item,contrastive,8,0.8333333134651184
visual,has_item,contrastive,8,1.0
visual,has_item,contrastive,8,0.0
visual,has_item,contrastive,8,1.0
visual,has_item,contrastive,8,0.8999999761581421
visual,has_item,contrastive,8,1.0
visual,has_item,contrastive,8,0.0
visual,has_item,contrastive,8,1.0
visual,has_information,contrastive,8,1.0
visual,has_information,contrastive,8,1.0
visual,has_information,contrastive,8,1.0
visual,has_information,contrastive,8,1.0
visual,has_information,contrastive,8,1.0
visual,has_information,contrastive,8,0.0
visual,has_information,contrastive,8,1.0
visual,has_information,contrastive,8,0.625
visual,has_information,contrastive,8,0.0
visual,has_information,contrastive,8,1.0
visual,has_information,contrastive,8,0.0
visual,idle,autoencoder,8,0.6666666865348816
visual,idle,autoencoder,8,1.0
visual,idle,autoencoder,8,1.0
visual,idle,autoencoder,8,1.0
visual,idle,autoencoder,8,1.0
visual,idle,autoencoder,8,0.5
visual,idle,autoencoder,8,1.0
visual,idle,autoencoder,8,1.0
visual,idle,autoencoder,8,1.0
visual,searching,autoencoder,8,1.0
visual,searching,autoencoder,8,1.0
visual,searching,autoencoder,8,1.0
visual,searching,autoencoder,8,0.6666666865348816
visual,searching,autoencoder,8,1.0
visual,searching,autoencoder,8,0.75
visual,searching,autoencoder,8,1.0
visual,searching,autoencoder,8,0.6000000238418579
visual,searching,autoencoder,8,1.0
visual,searching,autoencoder,8,0.0
visual,searching,autoencoder,8,0.6428571343421936
visual,has_item,autoencoder,8,0.5
visual,has_item,autoencoder,8,1.0
visual,has_item,autoencoder,8,1.0
visual,has_item,autoencoder,8,0.8333333134651184
visual,has_item,autoencoder,8,1.0
visual,has_item,autoencoder,8,0.0
