,modality,conditioning,pretraining,embedding_type,embedding_size,task_idx,loss
256,auditory,taskconditioned,raw,random,128,0,2787.215659176834
257,auditory,taskconditioned,raw,random,128,1,2874.9434235215645
258,auditory,taskconditioned,raw,random,128,2,2951.576835267786
259,auditory,taskconditioned,raw,random,128,3,2749.3951634566292
260,auditory,taskconditioned,raw,random,128,0,2913.2518575087092
261,auditory,taskconditioned,raw,random,128,1,2760.479523270729
262,auditory,taskconditioned,raw,random,128,2,2579.9007789656034
263,auditory,taskconditioned,raw,random,128,3,2995.684759069138
264,visual,taskconditioned,raw,autoencoder,128,0,550.2589770022856
265,visual,taskconditioned,raw,autoencoder,128,1,502.5663768659514
266,visual,taskconditioned,raw,autoencoder,128,2,502.2592134782667
267,visual,taskconditioned,raw,autoencoder,128,3,602.3723146530634
268,visual,taskconditioned,raw,autoencoder,128,0,489.19698126534774
269,visual,taskconditioned,raw,autoencoder,128,1,549.4505787817066
270,visual,taskconditioned,raw,autoencoder,128,2,620.5226190557377
271,visual,taskconditioned,raw,autoencoder,128,3,474.9266728940859
272,kinesthetic,independent,raw,VAE,128,0,778.7202384764572
273,kinesthetic,independent,raw,VAE,128,1,807.6146019481806
274,kinesthetic,independent,raw,VAE,128,2,794.2154427824516
275,kinesthetic,independent,raw,VAE,128,3,771.1284342216605
276,kinesthetic,independent,raw,VAE,128,0,776.0288667329975
277,kinesthetic,independent,raw,VAE,128,1,780.4582500905063
278,kinesthetic,independent,raw,VAE,128,2,782.9721131260061
279,kinesthetic,independent,raw,VAE,128,3,776.0889372965954
280,auditory,taskconditioned,auditory_pretrained_embeddings,random,128,0,2042.9847931332476
281,auditory,taskconditioned,auditory_pretrained_embeddings,random,128,1,2217.19800293228
282,auditory,taskconditioned,auditory_pretrained_embeddings,random,128,2,2299.520535167034
283,auditory,taskconditioned,auditory_pretrained_embeddings,random,128,3,2648.670802003889
284,auditory,taskconditioned,auditory_pretrained_embeddings,random,128,0,2394.7864131187894
285,auditory,taskconditioned,auditory_pretrained_embeddings,random,128,1,2142.301518726143
286,auditory,taskconditioned,auditory_pretrained_embeddings,random,128,2,2515.766880042041
287,auditory,taskconditioned,auditory_pretrained_embeddings,random,128,3,2299.638829685543
288,visual,independent,clip_embeds,contrastive+autoencoder,128,0,597.74353976569
289,visual,independent,clip_embeds,contrastive+autoencoder,128,1,711.0952228932383
290,visual,independent,clip_embeds,contrastive+autoencoder,128,2,506.2709471690754
291,visual,independent,clip_embeds,contrastive+autoencoder,128,3,574.7545150750794
292,visual,independent,clip_embeds,contrastive+autoencoder,128,0,515.8368561840593
293,visual,independent,clip_embeds,contrastive+autoencoder,128,1,614.6604145839121
294,visual,independent,clip_embeds,contrastive+autoencoder,128,2,488.5777742845129
295,visual,independent,clip_embeds,contrastive+autoencoder,128,3,551.4434044361077
296,auditory,taskconditioned,auditory_pretrained_embeddings,VAE,128,0,2119.0396879358677
297,auditory,taskconditioned,auditory_pretrained_embeddings,VAE,128,1,2331.198371671855
298,auditory,taskconditioned,auditory_pretrained_embeddings,VAE,128,2,2324.817496770221
299,auditory,taskconditioned,auditory_pretrained_embeddings,VAE,128,3,2454.6916573566045
300,auditory,taskconditioned,auditory_pretrained_embeddings,VAE,128,0,2562.991512280891
301,auditory,taskconditioned,auditory_pretrained_embeddings,VAE,128,1,2414.467910236127
302,auditory,taskconditioned,auditory_pretrained_embeddings,VAE,128,2,2469.55540694129
303,auditory,taskconditioned,auditory_pretrained_embeddings,VAE,128,3,2171.25923688887
304,visual,independent,clip_embeds,contrastive,128,0,723.6767777668308
305,visual,independent,clip_embeds,contrastive,128,1,603.7696071199852
306,visual,independent,clip_embeds,contrastive,128,2,508.26061365427176
307,visual,independent,clip_embeds,contrastive,128,3,592.8877772927078
308,visual,independent,clip_embeds,contrastive,128,0,513.0862673225438
309,visual,independent,clip_embeds,contrastive,128,1,606.9942875275049
310,visual,independent,clip_embeds,contrastive,128,2,721.5913208806364
311,visual,independent,clip_embeds,contrastive,128,3,589.473997511702
312,kinesthetic,independent,raw,autoencoder,128,0,652.9734517115457
313,kinesthetic,independent,raw,autoencoder,128,1,755.2487787207666
314,kinesthetic,independent,raw,autoencoder,128,2,657.3510313340333
315,kinesthetic,independent,raw,autoencoder,128,3,689.312628917249
316,kinesthetic,independent,raw,autoencoder,128,0,644.6531083133889
317,kinesthetic,independent,raw,autoencoder,128,1,709.5441547544514
318,kinesthetic,independent,raw,autoencoder,128,2,659.0643370366915
319,kinesthetic,independent,raw,autoencoder,128,3,689.3733380611017
320,kinesthetic,independent,raw,contrastive+autoencoder,128,0,841.9655100722291
321,kinesthetic,independent,raw,contrastive+autoencoder,128,1,935.0665467535221
322,kinesthetic,independent,raw,contrastive+autoencoder,128,2,840.5651645974187
323,kinesthetic,independent,raw,contrastive+autoencoder,128,3,917.9655197983794
324,kinesthetic,independent,raw,contrastive+autoencoder,128,0,1011.7663006586084
325,kinesthetic,independent,raw,contrastive+autoencoder,128,1,887.4314351099118
326,kinesthetic,independent,raw,contrastive+autoencoder,128,2,946.5375489000977
327,kinesthetic,independent,raw,contrastive+autoencoder,128,3,793.0866170556437
328,visual,taskconditioned,xclip_embeds,VAE,128,0,546.6580648646575
329,visual,taskconditioned,xclip_embeds,VAE,128,1,516.6143145298261
330,visual,taskconditioned,xclip_embeds,VAE,128,2,474.0961777116638
331,visual,taskconditioned,xclip_embeds,VAE,128,3,574.5990542759846
332,visual,taskconditioned,xclip_embeds,VAE,128,0,535.5757407745041
333,visual,taskconditioned,xclip_embeds,VAE,128,1,485.6996036661027
334,visual,taskconditioned,xclip_embeds,VAE,128,2,470.34645940437554
335,visual,taskconditioned,xclip_embeds,VAE,128,3,499.85819465812136
336,auditory,taskconditioned,auditory_pretrained_embeddings,contrastive,128,0,2856.0182087450376
337,auditory,taskconditioned,auditory_pretrained_embeddings,contrastive,128,1,2655.1492974371336
338,auditory,taskconditioned,auditory_pretrained_embeddings,contrastive,128,2,2849.8644022596145
339,auditory,taskconditioned,auditory_pretrained_embeddings,contrastive,128,3,2881.4471150493664
340,auditory,taskconditioned,auditory_pretrained_embeddings,contrastive,128,0,2722.8783135396593
341,auditory,taskconditioned,auditory_pretrained_embeddings,contrastive,128,1,2899.651104785777
342,auditory,taskconditioned,auditory_pretrained_embeddings,contrastive,128,2,2873.006745726603
343,auditory,taskconditioned,auditory_pretrained_embeddings,contrastive,128,3,2558.529214623926
344,visual,taskconditioned,raw,contrastive+autoencoder,128,0,730.5951662856969
345,visual,taskconditioned,raw,contrastive+autoencoder,128,1,483.44474136409514
346,visual,taskconditioned,raw,contrastive+autoencoder,128,2,544.3244745798518
347,visual,taskconditioned,raw,contrastive+autoencoder,128,3,497.0680495663135
348,visual,taskconditioned,raw,contrastive+autoencoder,128,0,572.0739618987044
349,visual,taskconditioned,raw,contrastive+autoencoder,128,1,673.4294735605997
350,visual,taskconditioned,raw,contrastive+autoencoder,128,2,497.86934885506383
351,visual,taskconditioned,raw,contrastive+autoencoder,128,3,589.8673287397306
352,visual,independent,raw,contrastive,128,0,486.99720798164765
353,visual,independent,raw,contrastive,128,1,594.9177634042345
354,visual,independent,raw,contrastive,128,2,593.6992242344577
355,visual,independent,raw,contrastive,128,3,695.9508868060142
356,visual,independent,raw,contrastive,128,0,666.9104348236223
357,visual,independent,raw,contrastive,128,1,504.1081351684801
358,visual,independent,raw,contrastive,128,2,650.4982697113065
359,visual,independent,raw,contrastive,128,3,577.0947676718384
360,kinesthetic,independent,AE_embeds,random,128,0,1011.6580201264818
361,kinesthetic,independent,AE_embeds,random,128,1,980.5530253783753
362,kinesthetic,independent,AE_embeds,random,128,2,1010.2876914568413
363,kinesthetic,independent,AE_embeds,random,128,3,999.6008787882836
364,kinesthetic,independent,AE_embeds,random,128,0,1003.8675925727996
